trace_name,split,trace_p_arrival_sample,trace_s_arrival_sample,trace_sampling_rate_hz,trace_channel,trace_npts,station_code,station_latitude_deg,station_longitude_deg,source_magnitude,source_depth_km,source_distance_km,source_latitude_deg,source_longitude_deg,event_name,preprocess_method,preprocess_highpass_hz
AIC0100204112316,train,1457,2021,100.0,ZNE,11900,AIC010,34.976,137.4236,4.2,40.0,28.05,34.935,137.12,0204112316,raw-accel,1.0
AIC0170204112316,train,1421,1952,100.0,ZNE,11900,AIC017,34.6694,137.2633,4.2,40.0,32.311,34.935,137.12,0204112316,raw-accel,1.0
SIG0050204112316,train,294,1377,100.0,ZNE,11900,SIG005,35.2493,136.2421,4.2,40.0,87.209,34.935,137.12,0204112316,raw-accel,1.0
AIC0080204112316,train,1437,2120,100.0,ZNE,11900,AIC008,35.0977,137.5697,4.2,40.0,44.784,34.935,137.12,0204112316,raw-accel,1.0
MIE0100204112316,train,622,1450,100.0,ZNE,11900,MIE010,34.4908,136.7334,4.2,40.0,60.749,34.935,137.12,0204112316,raw-accel,1.0
MIE0020204112316,train,634,1378,100.0,ZNE,11900,MIE002,35.0279,136.5073,4.2,40.0,56.784,34.935,137.12,0204112316,raw-accel,1.0
SZO0260204112316,train,439,1407,100.0,ZNE,12000,SZO026,34.9816,137.8975,4.2,40.0,71.064,34.935,137.12,0204112316,raw-accel,1.0
GIF0160204112316,train,528,1406,100.0,ZNE,11900,GIF016,35.5424,137.1191,4.2,40.0,67.559,34.935,137.12,0204112316,raw-accel,1.0
GIF0210204112316,train,606,1399,100.0,ZNE,11900,GIF021,35.4426,137.0,4.2,40.0,57.503,34.935,137.12,0204112316,raw-accel,1.0
MIE0040204112316,train,1371,2185,100.0,ZNE,11900,MIE004,34.8569,136.4493,4.2,40.0,61.799,34.935,137.12,0204112316,raw-accel,1.0
SIG0120204112316,train,312,1380,100.0,ZNE,11900,SIG012,34.9043,136.2307,4.2,40.0,81.176,34.935,137.12,0204112316,raw-accel,1.0
IBR0140003041952,train,862,1495,100.0,ZNE,11900,IBR014,36.0729,140.1947,3.6,53.0,12.03,36.156,140.109,0003041952,raw-accel,1.0
IBR0130003041952,train,1399,2141,100.0,ZNE,11900,IBR013,36.1587,140.4892,3.6,53.0,34.145,36.156,140.109,0003041952,raw-accel,1.0
IBR0190003041952,train,619,2930,200.0,ZNE,15000,IBR019,36.8808,140.6544,3.6,53.0,94.212,36.156,140.109,0003041952,raw-accel,1.0
TCG0070003041952,train,614,1423,100.0,ZNE,11900,TCG007,36.5692,139.8861,3.6,53.0,50.108,36.156,140.109,0003041952,raw-accel,1.0
IBR0010003041952,train,441,1399,100.0,ZNE,11900,IBR001,36.7761,140.3569,3.6,53.0,72.448,36.156,140.109,0003041952,raw-accel,1.0
CHB0010003041952,train,670,1373,100.0,ZNE,11900,CHB001,35.9595,139.8733,3.6,53.0,30.444,36.156,140.109,0003041952,raw-accel,1.0
TCG0140003041952,train,1277,2032,100.0,ZNE,11900,TCG014,36.545,140.1742,3.6,53.0,43.659,36.156,140.109,0003041952,raw-accel,1.0
TCG0130003041952,train,793,1468,100.0,ZNE,11900,TCG013,36.4368,140.0225,3.6,53.0,32.181,36.156,140.109,0003041952,raw-accel,1.0
IBR0120003041952,train,1484,2113,100.0,ZNE,11900,IBR012,36.1901,140.2869,3.6,53.0,16.417,36.156,140.109,0003041952,raw-accel,1.0
IBR0160003041952,train,736,1449,100.0,ZNE,12000,IBR016,35.9112,140.0494,3.6,53.0,27.751,36.156,140.109,0003041952,raw-accel,1.0
IBR0030003041952,train,1300,2253,100.0,ZNE,11900,IBR003,36.5915,140.6453,3.6,53.0,68.213,36.156,140.109,0003041952,raw-accel,1.0
IBR0050003041952,train,1442,2107,100.0,ZNE,11900,IBR005,36.3851,140.2372,3.6,53.0,27.955,36.156,140.109,0003041952,raw-accel,1.0
IBR0100003041952,train,772,1416,100.0,ZNE,11900,IBR010,36.1843,139.9653,3.6,53.0,13.281,36.156,140.109,0003041952,raw-accel,1.0
CHB0040003041952,train,607,1365,100.0,ZNE,11900,CHB004,35.9007,140.4905,3.6,53.0,44.542,36.156,140.109,0003041952,raw-accel,1.0
TCG0080402040411,train,445,1455,100.0,ZNE,11900,TCG008,36.56,139.7675,4.2,65.0,68.77,35.995,140.079,0402040411,raw-accel,1.0
SIT0070402040411,train,443,1438,100.0,ZNE,11900,SIT007,36.054,139.3912,4.2,65.0,62.219,35.995,140.079,0402040411,raw-accel,1.0
GNM0110402040411,train,266,1311,100.0,ZNE,11900,GNM011,36.2914,139.3609,4.2,65.0,72.437,35.995,140.079,0402040411,raw-accel,1.0
IBR0150402040411,train,640,1387,100.0,ZNE,11900,IBR015,36.0693,139.908,4.2,65.0,17.461,35.995,140.079,0402040411,raw-accel,1.0
SIT0040402040411,train,1415,2619,100.0,ZNE,11900,SIT004,36.1179,139.1045,4.2,65.0,88.686,35.995,140.079,0402040411,raw-accel,1.0
IBR0120402040411,train,1395,2187,100.0,ZNE,11900,IBR012,36.1901,140.2869,4.2,65.0,28.637,35.995,140.079,0402040411,raw-accel,1.0
GNM0090402040411,train,277,1413,100.0,ZNE,11900,GNM009,36.4106,139.3251,4.2,65.0,81.946,35.995,140.079,0402040411,raw-accel,1.0
TCG0130402040411,train,556,1457,100.0,ZNE,11900,TCG013,36.4368,140.0225,4.2,65.0,49.401,35.995,140.079,0402040411,raw-accel,1.0
TCG0140402040411,train,1363,2335,100.0,ZNE,11900,TCG014,36.545,140.1742,4.2,65.0,61.767,35.995,140.079,0402040411,raw-accel,1.0
CHB0060402040411,train,1456,2211,100.0,ZNE,11900,CHB006,35.7801,140.3067,4.2,65.0,31.501,35.995,140.079,0402040411,raw-accel,1.0
IBR0130402040411,train,1398,2225,100.0,ZNE,11900,IBR013,36.1587,140.4892,4.2,65.0,41.126,35.995,140.079,0402040411,raw-accel,1.0
SIT0050402040411,train,365,1441,100.0,ZNE,11900,SIT005,36.0562,139.2626,4.2,65.0,73.754,35.995,140.079,0402040411,raw-accel,1.0
IBR0140402040411,train,1418,2184,100.0,ZNE,11900,IBR014,36.0729,140.1947,4.2,65.0,13.542,35.995,140.079,0402040411,raw-accel,1.0
GNM0100402040411,train,1411,2330,100.0,ZNE,11900,GNM010,36.2343,139.5331,4.2,65.0,55.807,35.995,140.079,0402040411,raw-accel,1.0
IBR0080402040411,train,557,1354,100.0,ZNE,11900,IBR008,36.3062,139.9828,4.2,65.0,35.676,35.995,140.079,0402040411,raw-accel,1.0
IBR0060402040411,train,1398,2296,100.0,ZNE,11900,IBR006,36.369,140.4528,4.2,65.0,53.447,35.995,140.079,0402040411,raw-accel,1.0
TCG0070402040411,train,395,1433,100.0,ZNE,11900,TCG007,36.5692,139.8861,4.2,65.0,66.167,35.995,140.079,0402040411,raw-accel,1.0
SIT0060402040411,train,256,1442,100.0,ZNE,11900,SIT006,35.9954,139.0709,4.2,65.0,90.718,35.995,140.079,0402040411,raw-accel,1.0
TCG0090402040411,train,248,1414,100.0,ZNE,11900,TCG009,36.7258,139.7155,4.2,65.0,87.562,35.995,140.079,0402040411,raw-accel,1.0
CHB0070402040411,train,468,1226,100.0,ZNE,11900,CHB007,35.7234,140.2267,4.2,65.0,33.013,35.995,140.079,0402040411,raw-accel,1.0
CHB0040402040411,train,1393,2191,100.0,ZNE,11900,CHB004,35.9007,140.4905,4.2,65.0,38.509,35.995,140.079,0402040411,raw-accel,1.0
CHB0030402040411,train,606,1325,100.0,ZNE,11900,CHB003,35.7943,140.0564,4.2,65.0,22.416,35.995,140.079,0402040411,raw-accel,1.0
IBR0050402040411,train,1411,2283,100.0,ZNE,11900,IBR005,36.3851,140.2372,4.2,65.0,45.654,35.995,140.079,0402040411,raw-accel,1.0
IBR0170402040411,train,1473,2223,100.0,ZNE,11900,IBR017,35.9537,140.3194,4.2,65.0,22.121,35.995,140.079,0402040411,raw-accel,1.0
TCG0110402040411,train,454,1397,100.0,ZNE,11900,TCG011,36.3867,139.6145,4.2,65.0,60.305,35.995,140.079,0402040411,raw-accel,1.0
IBR0110402040411,train,1424,2171,100.0,ZNE,11900,IBR011,36.1251,140.0903,4.2,65.0,14.506,35.995,140.079,0402040411,raw-accel,1.0
IBR0160402040411,train,1240,1947,100.0,ZNE,11900,IBR016,35.9112,140.0494,4.2,65.0,9.694,35.995,140.079,0402040411,raw-accel,1.0
IBR0030402040411,train,252,1420,100.0,ZNE,11900,IBR003,36.5915,140.6453,4.2,65.0,83.541,35.995,140.079,0402040411,raw-accel,1.0
IBR0040402040411,train,1017,2002,100.0,ZNE,11900,IBR004,36.5273,140.4094,4.2,65.0,66.207,35.995,140.079,0402040411,raw-accel,1.0
TKS0060410120845,train,1132,1477,100.0,ZNE,6000,TKS006,33.6692,134.4192,3.6,13.0,27.139,33.906,134.49,0410120845,raw-accel,1.0
TKS0080410120845,train,1503,1893,100.0,ZNE,6000,TKS008,33.9344,134.212,3.6,13.0,25.852,33.906,134.49,0410120845,raw-accel,1.0
TKS0070410120845,train,1146,1540,100.0,ZNE,6000,TKS007,34.0905,134.285,3.6,13.0,27.901,33.906,134.49,0410120845,raw-accel,1.0
KGW0060410120845,train,960,1561,100.0,ZNE,6000,KGW006,34.2496,134.1856,3.6,13.0,47.402,33.906,134.49,0410120845,raw-accel,1.0
TKS0040410120845,train,1277,1530,100.0,ZNE,6000,TKS004,33.7749,134.5914,3.6,13.0,17.332,33.906,134.49,0410120845,raw-accel,1.0
KOC0010410120845,train,1560,2105,100.0,ZNE,6000,KOC001,33.5275,134.2814,3.6,13.0,46.312,33.906,134.49,0410120845,raw-accel,1.0
TKS0050410120845,train,1580,1762,100.0,ZNE,6000,TKS005,33.8788,134.3889,3.6,13.0,9.812,33.906,134.49,0410120845,raw-accel,1.0
MYG0120307211904,train,377,1454,100.0,ZNE,11900,MYG012,38.3233,141.0272,4.5,71.0,73.234,38.803,141.604,0307211904,raw-accel,1.0
MYG0040307211904,train,499,1403,100.0,ZNE,11900,MYG004,38.7292,141.0217,4.5,71.0,51.162,38.803,141.604,0307211904,raw-accel,1.0
MYG0030307211904,train,1426,2207,100.0,ZNE,11900,MYG003,38.7348,141.3106,4.5,71.0,26.551,38.803,141.604,0307211904,raw-accel,1.0
IWT0110307211904,train,426,1348,100.0,ZNE,11900,IWT011,39.1454,141.152,4.5,71.0,54.571,38.803,141.604,0307211904,raw-accel,1.0
IWT0070307211904,train,617,1543,100.0,ZNE,11900,IWT007,39.2701,141.8561,4.5,71.0,56.334,38.803,141.604,0307211904,raw-accel,1.0
MYG0110307211904,train,1411,2370,100.0,ZNE,12000,MYG011,38.2972,141.5043,4.5,71.0,56.923,38.803,141.604,0307211904,raw-accel,1.0
MYG0010307211904,train,1467,2203,100.0,ZNE,11900,MYG001,38.9015,141.5684,4.5,71.0,11.381,38.803,141.604,0307211904,raw-accel,1.0
MYG0060307211904,train,392,1350,100.0,ZNE,11900,MYG006,38.5801,140.9654,4.5,71.0,60.731,38.803,141.604,0307211904,raw-accel,1.0
IWT0060307211904,train,251,1402,100.0,ZNE,11900,IWT006,39.4806,141.9652,4.5,71.0,81.554,38.803,141.604,0307211904,raw-accel,1.0
MYG0020307211904,train,1474,2208,100.0,ZNE,11900,MYG002,38.7262,141.5109,4.5,71.0,11.754,38.803,141.604,0307211904,raw-accel,1.0
IWT0130307211904,train,459,1430,100.0,ZNE,11900,IWT013,39.3367,141.5378,4.5,71.0,59.636,38.803,141.604,0307211904,raw-accel,1.0
IWT0080307211904,train,1444,2263,100.0,ZNE,12000,IWT008,39.0815,141.7083,4.5,71.0,32.264,38.803,141.604,0307211904,raw-accel,1.0
MYG0080307211904,train,1422,2221,100.0,ZNE,11900,MYG008,38.5769,141.4514,4.5,71.0,28.424,38.803,141.604,0307211904,raw-accel,1.0
IWT0090307211904,train,1451,2238,100.0,ZNE,11900,IWT009,39.0187,141.4031,4.5,71.0,29.63,38.803,141.604,0307211904,raw-accel,1.0
TTR0070010220906,train,1050,1431,100.0,ZNE,11900,TTR007,35.2826,133.4876,3.4,12.0,28.06,35.448,133.254,0010220906,raw-accel,1.0
SMN0020010220906,train,1465,1733,100.0,ZNE,11900,SMN002,35.4714,133.0682,3.4,12.0,17.033,35.448,133.254,0010220906,raw-accel,1.0
SMN0010010220906,train,1387,1621,100.0,ZNE,11900,SMN001,35.5372,133.1612,3.4,12.0,13.002,35.448,133.254,0010220906,raw-accel,1.0
SMN0150010220906,train,1198,1405,100.0,ZNE,11900,SMN015,35.3644,133.1704,3.4,12.0,11.996,35.448,133.254,0010220906,raw-accel,1.0
CHB0040604100921,train,1389,3582,100.0,ZNE,7900,CHB004,35.9007,140.4905,4.7,80.0,191.243,37.5,141.278,0604100921,raw-accel,1.0
FKS0080604100921,train,1494,2561,100.0,ZNE,7600,FKS008,37.4363,140.5668,4.7,80.0,63.183,37.5,141.278,0604100921,raw-accel,1.0
FKS0010604100921,train,1570,2515,100.0,ZNE,7500,FKS001,37.7949,140.9196,4.7,80.0,45.521,37.5,141.278,0604100921,raw-accel,1.0
FKS0060604100921,train,1567,2549,100.0,ZNE,7300,FKS006,37.5031,140.7588,4.7,80.0,45.815,37.5,141.278,0604100921,raw-accel,1.0
FKS0190604100921,train,1495,2610,100.0,ZNE,6700,FKS019,37.603,140.4368,4.7,80.0,75.057,37.5,141.278,0604100921,raw-accel,1.0
MYG0020604100921,train,1463,3116,100.0,ZNE,8400,MYG002,38.7262,141.5109,4.7,80.0,137.9,37.5,141.278,0604100921,raw-accel,1.0
IBR0020604100921,train,1430,2824,100.0,ZNE,7300,IBR002,36.7061,140.7068,4.7,80.0,101.807,37.5,141.278,0604100921,raw-accel,1.0
FKS0070604100921,train,1551,2450,100.0,ZNE,6800,FKS007,37.4061,140.9632,4.7,80.0,29.693,37.5,141.278,0604100921,raw-accel,1.0
MYG0120604100921,train,282,1523,100.0,ZNE,6000,MYG012,38.3175,141.0193,4.7,80.0,93.719,37.5,141.278,0604100921,raw-accel,1.0
FKS0090604100921,train,1581,2635,100.0,ZNE,7700,FKS009,37.2778,140.6349,4.7,80.0,61.974,37.5,141.278,0604100921,raw-accel,1.0
FKS0180604100921,train,1472,2656,100.0,ZNE,6700,FKS018,37.3961,140.3622,4.7,80.0,81.689,37.5,141.278,0604100921,raw-accel,1.0
MYG0110604100921,train,248,1544,100.0,ZNE,6000,MYG011,38.3052,141.5044,4.7,80.0,91.737,37.5,141.278,0604100921,raw-accel,1.0
FKS0310604100921,train,640,1625,100.0,ZNE,6000,FKS031,37.3364,140.8132,4.7,80.0,44.911,37.5,141.278,0604100921,raw-accel,1.0
FKS0110604100921,train,1528,2562,100.0,ZNE,6400,FKS011,37.0911,140.9035,4.7,80.0,56.272,37.5,141.278,0604100921,raw-accel,1.0
FKS0030604100921,train,401,1552,100.0,ZNE,6000,FKS003,37.7613,140.4799,4.7,80.0,76.073,37.5,141.278,0604100921,raw-accel,1.0
FKS0040604100921,train,1520,2508,100.0,ZNE,7200,FKS004,37.6799,140.7346,4.7,80.0,51.905,37.5,141.278,0604100921,raw-accel,1.0
FKS0050604100921,train,1466,2355,100.0,ZNE,7400,FKS005,37.6385,140.9849,4.7,80.0,30.083,37.5,141.278,0604100921,raw-accel,1.0
FKS0020604100921,train,1565,2667,100.0,ZNE,6800,FKS002,37.8449,140.6013,4.7,80.0,70.857,37.5,141.278,0604100921,raw-accel,1.0
FKS0170604100921,train,406,1623,100.0,ZNE,6000,FKS017,37.2842,140.3689,4.7,80.0,83.845,37.5,141.278,0604100921,raw-accel,1.0
FKS0100604100921,train,1529,2438,100.0,ZNE,7400,FKS010,37.2342,141.0016,4.7,80.0,38.354,37.5,141.278,0604100921,raw-accel,1.0
HYG0180103300450,train,435,1412,100.0,ZNE,12000,HYG018,34.8143,134.687,3.7,16.0,79.911,35.01,135.53,0103300450,raw-accel,1.0
HYG0090103300450,train,928,1467,100.0,ZNE,11900,HYG009,35.169,135.1041,3.7,16.0,42.606,35.01,135.53,0103300450,raw-accel,1.0
HYG0150103300450,train,1461,1822,100.0,ZNE,11900,HYG015,34.9515,135.2713,3.7,16.0,24.457,35.01,135.53,0103300450,raw-accel,1.0
KYT0080103300450,train,1032,1446,100.0,ZNE,11900,KYT008,35.2612,135.3966,3.7,16.0,30.461,35.01,135.53,0103300450,raw-accel,1.0
OSK0010103300450,train,1414,1675,100.0,ZNE,11900,OSK001,34.9707,135.39,3.7,16.0,13.485,35.01,135.53,0103300450,raw-accel,1.0
HYG0140103300450,train,831,1420,100.0,ZNE,11900,HYG014,35.0023,134.9999,3.7,16.0,48.302,35.01,135.53,0103300450,raw-accel,1.0
SIG0120103300450,train,601,1383,100.0,ZNE,11900,SIG012,34.9043,136.2307,3.7,16.0,64.948,35.01,135.53,0103300450,raw-accel,1.0
KYT0070103300450,train,1035,1512,100.0,ZNE,11900,KYT007,35.3057,135.713,3.7,16.0,36.86,35.01,135.53,0103300450,raw-accel,1.0
KYT0090103300450,train,1151,1414,100.0,ZNE,11900,KYT009,35.1637,135.5016,3.7,16.0,17.29,35.01,135.53,0103300450,raw-accel,1.0
KYT0120103300450,train,1044,1440,100.0,ZNE,11900,KYT012,34.9962,135.8188,3.7,16.0,26.357,35.01,135.53,0103300450,raw-accel,1.0
HYG0100103300450,train,984,1412,100.0,ZNE,11900,HYG010,35.0593,135.1777,3.7,16.0,32.55,35.01,135.53,0103300450,raw-accel,1.0
KYT0100103300450,train,1437,1837,100.0,ZNE,11900,KYT010,35.2098,135.7738,3.7,16.0,31.4,35.01,135.53,0103300450,raw-accel,1.0
MYG0040505271707,dev,1456,2692,100.0,ZNE,10800,MYG004,38.7292,141.0217,4.9,109.0,43.93,38.537,140.58,0505271707,raw-accel,1.0
AKT0200505271707,dev,1400,2922,100.0,ZNE,11900,AKT020,39.2022,139.9085,4.9,109.0,94.104,38.537,140.58,0505271707,raw-accel,1.0
MYG0030505271707,dev,1452,2833,100.0,ZNE,7800,MYG003,38.7348,141.3106,4.9,109.0,67.18,38.537,140.58,0505271707,raw-accel,1.0
MYG0150505271707,dev,1563,2860,100.0,ZNE,11300,MYG015,38.1049,140.8699,4.9,109.0,54.312,38.537,140.58,0505271707,raw-accel,1.0
YMT0090505271707,dev,1376,2611,100.0,ZNE,11900,YMT009,38.3898,140.2743,4.9,109.0,31.255,38.537,140.58,0505271707,raw-accel,1.0
AKT0180505271707,dev,1462,2923,100.0,ZNE,11900,AKT018,39.1939,140.1902,4.9,109.0,80.486,38.537,140.58,0505271707,raw-accel,1.0
MYG0020505271707,dev,1469,2947,100.0,ZNE,10300,MYG002,38.7262,141.5109,4.9,109.0,83.576,38.537,140.58,0505271707,raw-accel,1.0
YMT0170505271707,dev,2795,5297,200.0,ZNE,36000,YMT017,38.7909,140.313,4.9,109.0,36.541,38.537,140.58,0505271707,raw-accel,1.0
MYG0050505271707,dev,1483,2701,100.0,ZNE,10700,MYG005,38.7992,140.6507,4.9,109.0,29.803,38.537,140.58,0505271707,raw-accel,1.0
FKS0060505271707,dev,1371,2997,100.0,ZNE,11900,FKS006,37.5031,140.7588,4.9,109.0,116.059,38.537,140.58,0505271707,raw-accel,1.0
YMT0060505271707,dev,1431,2637,100.0,ZNE,11900,YMT006,38.6001,140.4054,4.9,109.0,16.727,38.537,140.58,0505271707,raw-accel,1.0
FKS0010505271707,dev,1391,2866,100.0,ZNE,11900,FKS001,37.7949,140.9196,4.9,109.0,87.721,38.537,140.58,0505271707,raw-accel,1.0
MYG0140505271707,dev,258,1442,100.0,ZNE,11900,MYG014,38.3177,140.6357,4.9,109.0,24.87,38.537,140.58,0505271707,raw-accel,1.0
MYG0100505271707,dev,1535,2860,100.0,ZNE,10200,MYG010,38.4282,141.2809,4.9,109.0,62.214,38.537,140.58,0505271707,raw-accel,1.0
YMT0020505271707,dev,1393,2635,100.0,ZNE,11900,YMT002,38.7679,140.2957,4.9,109.0,35.629,38.537,140.58,0505271707,raw-accel,1.0
MYG0170505271707,dev,1545,2873,100.0,ZNE,7800,MYG017,37.9763,140.7818,4.9,109.0,64.807,38.537,140.58,0505271707,raw-accel,1.0
YMT0050505271707,dev,1381,2648,100.0,ZNE,11900,YMT005,38.607,140.1621,4.9,109.0,37.165,38.537,140.58,0505271707,raw-accel,1.0
MYG0060505271707,dev,1402,2605,100.0,ZNE,11900,MYG006,38.5801,140.9654,4.9,109.0,33.862,38.537,140.58,0505271707,raw-accel,1.0
FKS0040505271707,dev,1388,2904,100.0,ZNE,11900,FKS004,37.6799,140.7346,4.9,109.0,96.287,38.537,140.58,0505271707,raw-accel,1.0
FKI0110309110029,dev,600,1431,100.0,ZNE,11900,FKI011,35.9053,136.6706,3.8,38.0,61.795,35.441,136.295,0309110029,raw-accel,1.0
AIC0020309110029,dev,660,1463,100.0,ZNE,11900,AIC002,35.2979,136.9153,3.8,38.0,58.468,35.441,136.295,0309110029,raw-accel,1.0
SIG0010309110029,dev,998,1453,100.0,ZNE,11900,SIG001,35.5398,136.2065,3.8,38.0,13.601,35.441,136.295,0309110029,raw-accel,1.0
GIF0120309110029,dev,906,1422,100.0,ZNE,11900,GIF012,35.6365,136.4882,3.8,38.0,27.903,35.441,136.295,0309110029,raw-accel,1.0
AIC0040309110029,dev,378,1310,100.0,ZNE,11900,AIC004,35.0634,136.9736,3.8,38.0,74.585,35.441,136.295,0309110029,raw-accel,1.0
SIG0090309110029,dev,679,1445,100.0,ZNE,11900,SIG009,35.0051,136.0854,3.8,38.0,52.09,35.441,136.295,0309110029,raw-accel,1.0
SIG0030309110029,dev,1486,1905,100.0,ZNE,11900,SIG003,35.377,136.264,3.8,38.0,7.653,35.441,136.295,0309110029,raw-accel,1.0
SIG0040309110029,dev,796,1391,100.0,ZNE,11900,SIG004,35.3476,135.9184,3.8,38.0,35.692,35.441,136.295,0309110029,raw-accel,1.0
GIF0260309110029,dev,778,1424,100.0,ZNE,12000,GIF026,35.5912,136.7414,3.8,38.0,43.731,35.441,136.295,0309110029,raw-accel,1.0
GIF0170309110029,dev,1385,1907,100.0,ZNE,11900,GIF017,35.487,136.5679,3.8,38.0,25.246,35.441,136.295,0309110029,raw-accel,1.0
AOM0210402041508,train,1371,2426,100.0,ZNE,11900,AOM021,40.6152,141.208,5.3,63.0,78.338,40.143,141.894,0402041508,raw-accel,1.0
AKT0030402041508,train,1349,2984,100.0,ZNE,11900,AKT003,40.2782,140.2631,5.3,63.0,139.342,40.143,141.894,0402041508,raw-accel,1.0
AOM0130402041508,train,1361,2286,100.0,ZNE,11900,AOM013,40.4124,141.28,5.3,63.0,60.104,40.143,141.894,0402041508,raw-accel,1.0
IWT0090402041508,train,1455,2983,100.0,ZNE,11900,IWT009,39.0187,141.4031,5.3,63.0,131.942,40.143,141.894,0402041508,raw-accel,1.0
IWT0180402041508,train,1453,2530,100.0,ZNE,12000,IWT018,39.6953,141.1478,5.3,63.0,80.818,40.143,141.894,0402041508,raw-accel,1.0
IWT0160402041508,train,1467,2415,100.0,ZNE,11900,IWT016,39.5997,141.6789,5.3,63.0,63.157,40.143,141.894,0402041508,raw-accel,1.0
IWT0030402041508,train,1431,2148,100.0,ZNE,11900,IWT003,40.0083,141.8861,5.3,63.0,14.997,40.143,141.894,0402041508,raw-accel,1.0
IWT0040402041508,train,1405,2271,100.0,ZNE,11900,IWT004,39.7369,141.9697,5.3,63.0,45.628,40.143,141.894,0402041508,raw-accel,1.0
IWT0210402041508,train,1396,2406,100.0,ZNE,11900,IWT021,39.9203,141.082,5.3,63.0,73.456,40.143,141.894,0402041508,raw-accel,1.0
MYG0020402041508,train,1286,3118,100.0,ZNE,11900,MYG002,38.7262,141.5109,5.3,63.0,160.985,40.143,141.894,0402041508,raw-accel,1.0
IWT0050402041508,train,1483,2388,100.0,ZNE,11900,IWT005,39.6472,141.9464,5.3,63.0,55.327,40.143,141.894,0402041508,raw-accel,1.0
AOM0110402041508,train,1428,2463,100.0,ZNE,11900,AOM011,40.684,141.3694,5.3,63.0,74.796,40.143,141.894,0402041508,raw-accel,1.0
IWT0020402041508,train,1405,2108,100.0,ZNE,11900,IWT002,40.1819,141.7641,5.3,63.0,11.859,40.143,141.894,0402041508,raw-accel,1.0
AOM0120402041508,train,1359,2294,100.0,ZNE,12000,AOM012,40.5138,141.4805,5.3,63.0,54.132,40.143,141.894,0402041508,raw-accel,1.0
IWT0170402041508,train,1426,2435,100.0,ZNE,11900,IWT017,39.6336,141.4376,5.3,63.0,68.756,40.143,141.894,0402041508,raw-accel,1.0
IWT0190402041508,train,1425,2211,100.0,ZNE,11900,IWT019,39.8428,141.7952,5.3,63.0,34.435,40.143,141.894,0402041508,raw-accel,1.0
IWT0130402041508,train,1416,2623,100.0,ZNE,11900,IWT013,39.3367,141.5378,5.3,63.0,94.715,40.143,141.894,0402041508,raw-accel,1.0
